Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2024,Ruturaj Gaikwad,2,0,61,46,30.5,51,119.61,0,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0
2023,Ruturaj Gaikwad,16,1,590,92,42.14,400,147.5,0,4,46,30,17,0,16,0,0,0,0,0,0,0,0,0
2022,Ruturaj Gaikwad,14,0,368,99,26.29,291,126.46,0,3,33,14,4,0,14,0,0,0,0,0,0,0,0,0
2021,Ruturaj Gaikwad,16,2,635,101*,45.35,466,136.26,1,4,64,23,6,0,16,0,0,0,0,0,0,0,0,0
2020,Ruturaj Gaikwad,6,2,204,72,51,169,120.71,0,3,16,6,4,0,6,0,0,0,0,0,0,0,0,0
2023,Devon Conway,16,2,672,92*,51.69,481,139.71,0,6,77,18,6,0,16,0,0,0,0,0,0,0,0,0
2022,Devon Conway,7,1,252,87,42,173,145.66,0,3,22,12,2,0,7,0,0,0,0,0,0,0,0,0
2024,MS Dhoni,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2023,MS Dhoni,16,8,104,32*,26.00,57,182.46,0,0,3,10,7,3,16,0,0,0,0,0,0,0,0,0
2022,MS Dhoni,14,6,232,50*,33.14,188,123.40,0,1,21,10,9,0,14,0,0,0,0,0,0,0,0,0
2021,MS Dhoni,16,4,114,18*,16.28,107,106.54,0,0,12,3,13,0,16,0,0,0,0,0,0,0,0,0
2020,MS Dhoni,14,4,200,47*,25.00,172,116.27,0,0,16,7,15,1,14,0,0,0,0,0,0,0,0,0
2019,MS Dhoni,15,7,416,84*,83.20,309,134.62,0,3,22,23,11,5,15,0,0,0,0,0,0,0,0,0
2018,MS Dhoni,16,9,455,79*,75.83,302,150.66,0,3,24,30,11,3,16,0,0,0,0,0,0,0,0,0
2017,MS Dhoni,16,4,290,61*,26.36,250,116.00,0,1,15,16,10,3,16,0,0,0,0,0,0,0,0,0
2016,MS Dhoni,14,5,284,64*,40.57,210,135.23,0,1,18,14,8,4,14,0,0,0,0,0,0,0,0,0
2015,MS Dhoni,17,5,372,53,31.00,305,121.96,0,1,27,17,8,3,17,0,0,0,0,0,0,0,0,0
2014,MS Dhoni,16,10,371,57*,74.20,250,148.40,0,1,22,20,3,1,16,0,0,0,0,0,0,0,0,0
2013,MS Dhoni,18,5,461,67*,41.90,283,162.89,0,4,32,25,15,2,18,0,0,0,0,0,0,0,0,0
2012,MS Dhoni,19,5,358,51*,29.83,278,128.77,0,1,26,9,12,2,19,0,0,0,0,0,0,0,0,0
2011,MS Dhoni,16,4,392,70*,43.55,247,158.70,0,2,25,23,5,5,16,0,0,0,0,0,0,0,0,0
2010,MS Dhoni,13,2,287,66*,31.88,210,136.66,0,2,26,8,5,6,13,0,0,0,0,0,0,0,0,0
2009,MS Dhoni,14,5,332,58*,41.50,261,127.20,0,2,22,9,4,4,14,0,0,0,0,0,0,0,0,0
2008,MS Dhoni,16,4,414,65,41.40,310,133.54,0,2,38,15,6,0,16,0,0,0,0,0,0,0,0,0
2024,Ajinkya Rahane,2,0,39,27,19.5,31,125.81,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2023,Ajinkya Rahane,14,1,326,71*,32.6,189,172.49,0,2,24,16,8,0,14,0,0,0,0,0,0,0,0,0
2022,Ajinkya Rahane,7,0,133,44,19,128,103.91,0,0,14,4,3,0,7,0,0,0,0,0,0,0,0,0
2021,Ajinkya Rahane,2,0,8,8,8,8,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Ajinkya Rahane,9,0,113,60,14.12,107,105.6,0,1,12,2,4,0,9,0,0,0,0,0,0,0,0,0
2019,Ajinkya Rahane,14,1,393,105*,32.75,285,137.89,1,1,45,9,5,0,14,0,0,0,0,0,0,0,0,0
2018,Ajinkya Rahane,15,1,370,65*,28.46,313,118.21,0,1,39,5,4,0,15,0,0,0,0,0,0,0,0,0
2017,Ajinkya Rahane,16,1,382,60,25.46,323,118.26,0,2,35,9,7,0,16,0,0,0,0,0,0,0,0,0
2016,Ajinkya Rahane,14,3,480,74,43.63,379,126.64,0,6,54,9,7,0,14,0,0,0,0,0,0,0,0,0
2015,Ajinkya Rahane,14,2,540,91*,49.09,413,130.75,0,4,53,13,3,0,14,0,0,0,0,0,0,0,0,0
2014,Ajinkya Rahane,13,0,339,72,28.25,291,116.49,0,3,38,3,6,0,13,0,0,0,0,0,0,0,0,0
2013,Ajinkya Rahane,18,4,488,68*,34.85,458,106.55,0,4,42,11,10,0,18,0,0,0,0,0,0,0,0,0
2012,Ajinkya Rahane,16,2,560,103*,40,433,129.33,1,3,73,10,11,0,16,0,0,0,0,0,0,0,0,0
